ID,Date,Close/Last,Volume,Open,High,Low
1057,07/01/2020,91.0275,110737240,91.28,91.84,90.9775
1058,06/30/2020,91.20,140223280,90.02,91.495,90.00
1059,06/29/2020,90.445,130646080,88.3125,90.5434,87.82
1060,06/26/2020,88.4075,205256840,91.1025,91.33,88.255
1061,06/25/2020,91.21,137522520,90.175,91.25,89.3925
1062,06/24/2020,90.015,192623400,91.25,92.1975,89.63
1063,06/23/2020,91.6325,212155480,91.00,93.095,90.5675
1064,06/22/2020,89.7175,135445280,87.835,89.865,87.7875
1065,06/19/2020,87.43,264475800,88.6587,89.14,86.2875
1066,06/18/2020,87.9325,96820400,87.8525,88.3625,87.305
1067,06/17/2020,87.8975,114406520,88.7875,88.85,87.7725
1068,06/16/2020,88.02,165428720,87.865,88.30,86.18
1069,06/15/2020,85.7475,138808920,83.3125,86.42,83.145
1070,06/12/2020,84.70,200146040,86.18,86.95,83.5558
1071,06/11/2020,83.975,201662440,87.3275,87.765,83.87
1072,06/10/2020,88.21,166651760,86.975,88.6925,86.5225
1073,06/09/2020,85.9975,147712360,83.035,86.4025,83.0025
1074,06/08/2020,83.365,95654520,82.5625,83.40,81.83
1075,06/05/2020,82.875,137250200,80.8375,82.9375,80.8075
1076,06/04/2020,80.58,87560360,81.0975,81.405,80.195
1077,06/03/2020,81.28,104491200,81.165,81.55,80.575
1078,06/02/2020,80.835,87642800,80.1863,80.86,79.7325
1079,06/01/2020,80.4625,81018600,79.4375,80.5875,79.3025
1080,05/29/2020,79.485,153598120,79.8125,80.2875,79.1175
1081,05/28/2020,79.5625,133796400,79.1925,80.86,78.9075
1082,05/27/2020,79.5275,112945080,79.035,79.6775,78.2725
1083,05/26/2020,79.1825,125521800,80.875,81.06,79.125
1084,05/22/2020,79.7225,81803000,78.9425,79.8075,78.8375
1085,05/21/2020,79.2125,102688840,79.665,80.2225,78.9675
1086,05/20/2020,79.8075,111504880,79.17,79.88,79.05
1087,05/19/2020,78.285,101729560,78.7575,79.63,78.2525
1088,05/18/2020,78.74,135372520,78.2925,79.125,77.581
1089,05/15/2020,76.9275,166348360,75.0875,76.975,75.0525
1090,05/14/2020,77.385,158929080,76.1275,77.4475,75.3825
1091,05/13/2020,76.9125,200622560,78.0375,78.9875,75.8025
1092,05/12/2020,77.8525,162301040,79.4575,79.922,77.7275
1093,05/11/2020,78.7525,145946240,77.025,79.2625,76.81
1094,05/08/2020,77.5325,134047960,76.41,77.5875,76.0725
1095,05/07/2020,75.935,115215040,75.805,76.2925,75.4925
1096,05/06/2020,75.1575,142333760,75.115,75.81,74.7175
1097,05/05/2020,74.39,147751200,73.765,75.25,73.615
1098,05/04/2020,73.29,133567960,72.2925,73.4225,71.5793
1099,05/01/2020,72.2675,240616720,71.5625,74.75,71.4625
1100,04/30/2020,73.45,183063880,72.49,73.6325,72.0875
1101,04/29/2020,71.9325,137280800,71.1825,72.4175,70.9725
1102,04/28/2020,69.645,112004760,71.27,71.4575,69.55
1103,04/27/2020,70.7925,117087560,70.45,71.135,69.9875
1104,04/24/2020,70.7425,126508720,69.30,70.7525,69.25
1105,04/23/2020,68.7575,124814320,68.9675,70.4375,68.7175
1106,04/22/2020,69.025,117057360,68.4025,69.475,68.05
1107,04/21/2020,67.0925,180991560,69.07,69.3125,66.3575
1108,04/20/2020,69.2325,130015000,69.4875,70.42,69.2125
1109,04/17/2020,70.70,215249920,71.1725,71.7362,69.215
1110,04/16/2020,71.6725,157125160,71.845,72.0494,70.5875
1111,04/15/2020,71.1075,131154560,70.60,71.5825,70.1575
1112,04/14/2020,71.7625,194994680,70.00,72.0625,69.5125
1113,04/13/2020,68.3125,131022920,67.0775,68.425,66.4575
1114,04/09/2020,66.9975,162116480,67.175,67.5175,66.175
1115,04/08/2020,66.5175,168895280,65.685,66.8425,65.3075
1116,04/07/2020,64.8575,202887320,67.70,67.925,64.75
